,price
400,40.99263
401,50.85842
402,49.53419
403,42.47924
404,41.35243
405,40.13247
406,35.13129
407,32.12624
408,30.95282
409,30.48841
410,29.96697
411,29.99929
412,31.31703
413,34.49746
414,42.15166
415,39.37242
416,31.75195
417,27.01313
418,20.85467
419,19.25203
420,17.43523
421,16.76504
422,22.06727
423,30.81866
424,39.55933
425,46.90534
426,42.68695
427,39.64355
428,38.92296
429,36.48728
430,35.14921
431,32.31922
432,31.65828
433,31.32877
434,29.54645
435,29.64928
436,31.1826
437,35.0308
438,40.16823
439,40.56192
440,32.36036
441,29.76374
442,24.33069
443,21.91965
444,21.09154
445,20.97249
446,23.16182
447,28.16278
448,38.5243
449,46.36283
450,43.18609
451,40.50596
452,39.56382
453,37.40275
454,35.77359
455,33.92318
456,30.7958
457,30.18783
458,28
459,28.7782
460,29.2
461,35.35331
462,43.87465
463,45.67912
464,33.141
465,16.47536
466,12.47101
467,11.02589
468,10.07842
469,12.83523
470,19.29019
471,29.89103
472,41.16454
473,49.46361
474,45.22699
475,42.862
476,42.98224
477,40.05031
478,36.11781
479,31.69
480,32.73428
481,32.135
482,29.2
483,31.40343
484,30.31387
485,39.28089
486,44.11185
487,45.04355
488,32.7846
489,14.81002
490,12.31202
491,12.1822
492,8.92086
493,8.52966
494,10.22108
495,26.7982
496,40.09624
497,46.56309
498,45.12745
499,40.95694
500,39.99439
501,39.87367
502,34.5563
503,34.31293
504,31.16477
505,30.35148
506,29.66197
507,30.28652
508,30.42073
509,32.72826
510,40.94157
511,41.82535
512,33.83497
513,27.48517
514,23.73185
515,20.00627
516,18.87334
517,18.27154
518,23.34109
519,31.89142
520,39.44846
521,45.13564
522,44.69665
523,41.05985
524,39.8896
525,39.30814
526,34.22742
527,32.79457
528,32.095
529,32.18295
530,30.74593
531,30.91321
532,30.91329
533,32.95054
534,39.9538
535,40.2483
536,32.17773
537,29.37635
538,27.13229
539,24.32602
540,21.64445
541,21.13887
542,23.54533
543,29.3634
544,38.74613
545,45.90336
546,44.18224
547,43.29277
548,40.53858
549,40.56815
550,37.91173
551,32.21674
552,32.93961
553,31.5833
554,31.71924
555,31.71519
556,33.26731
557,35.23297
558,40.23038
559,35.9126
560,27.52006
561,17.62329
562,13.90032
563,11.37942
564,6.20686
565,6.33116
566,13.59585
567,26.82024
568,40.48428
569,47.26163
570,46.47961
571,42.27249
572,40.16832
573,38.36636
574,34.20221
575,32.42151
576,29.99863
577,29.04666
578,27.96454
579,26.96108
580,28.14974
581,34.44297
582,42.18738
583,45.64978
584,35.66407
585,33.50338
586,28.88884
587,26.56625
588,24.12367
589,21.96845
590,25.89
591,32.3676
